,number,value,datetime_start,datetime_complete,duration,params_C,params_M,params_N,params_P,params_S,state
39,39,36.4,2023-12-06 11:18:12.206167,2023-12-06 11:18:14.492762,0 days 00:00:02.286595,0.0,0.01,,10,roulette wheel,COMPLETE
40,40,37.6,2023-12-06 11:18:14.492944,2023-12-06 11:18:15.033332,0 days 00:00:00.540388,0.95,0.5,2.0,50,roulette wheel,COMPLETE
41,41,36.8,2023-12-06 11:18:15.033510,2023-12-06 11:18:27.634812,0 days 00:00:12.601302,0.8,0.01,0.0,50,roulette wheel,COMPLETE
42,42,43.2,2023-12-06 11:18:27.634984,2023-12-06 11:18:28.047252,0 days 00:00:00.412268,0.6,0.0,4.0,100,weighted choice,COMPLETE
43,43,43.2,2023-12-06 11:18:28.047440,2023-12-06 11:18:28.241603,0 days 00:00:00.194163,0.95,0.0,4.0,100,roulette wheel,COMPLETE
44,44,40.8,2023-12-06 11:18:28.241776,2023-12-06 11:18:28.975779,0 days 00:00:00.734003,0.5,0.0,4.0,20,weighted choice,COMPLETE
45,45,37.6,2023-12-06 11:18:28.975961,2023-12-06 11:18:29.448671,0 days 00:00:00.472710,0.6,0.33,1.0,10,random selection,COMPLETE
46,46,38.4,2023-12-06 11:18:29.448851,2023-12-06 11:18:29.888134,0 days 00:00:00.439283,0.5,0.1,4.0,50,weighted choice,COMPLETE
47,47,41.2,2023-12-06 11:18:29.888315,2023-12-06 11:18:30.328492,0 days 00:00:00.440177,0.95,0.0,2.0,20,roulette wheel,COMPLETE
48,48,38.0,2023-12-06 11:18:30.328663,2023-12-06 11:18:30.662874,0 days 00:00:00.334211,0.95,0.1,1.0,50,roulette wheel,COMPLETE
49,49,37.6,2023-12-06 11:18:30.663054,2023-12-06 11:18:31.199395,0 days 00:00:00.536341,0.8,0.5,1.0,50,random selection,COMPLETE
50,50,40.0,2023-12-06 11:18:31.199574,2023-12-06 11:18:31.615622,0 days 00:00:00.416048,0.8,0.01,2.0,10,roulette wheel,COMPLETE
51,51,37.2,2023-12-06 11:18:31.615809,2023-12-06 11:18:32.159747,0 days 00:00:00.543938,0.95,0.5,2.0,10,roulette wheel,COMPLETE
52,52,37.2,2023-12-06 11:18:32.159922,2023-12-06 11:18:55.583455,0 days 00:00:23.423533,0.8,0.5,0.0,50,random selection,COMPLETE
53,53,38.0,2023-12-06 11:18:55.583641,2023-12-06 11:19:26.542785,0 days 00:00:30.959144,0.6,0.1,0.0,100,weighted choice,COMPLETE
54,54,37.2,2023-12-06 11:19:26.543014,2023-12-06 11:19:54.176039,0 days 00:00:27.633025,0.95,0.1,0.0,100,roulette wheel,COMPLETE
55,55,37.6,2023-12-06 11:19:54.176223,2023-12-06 11:20:22.221103,0 days 00:00:28.044880,0.0,0.0,,50,roulette wheel,COMPLETE
56,56,40.4,2023-12-06 11:20:22.221285,2023-12-06 11:20:22.702531,0 days 00:00:00.481246,0.95,0.0,4.0,20,weighted choice,COMPLETE
57,57,38.0,2023-12-06 11:20:22.702724,2023-12-06 11:20:23.085166,0 days 00:00:00.382442,0.95,0.1,2.0,50,weighted choice,COMPLETE
58,58,42.0,2023-12-06 11:20:23.085343,2023-12-06 11:20:23.559684,0 days 00:00:00.474341,0.5,0.01,2.0,50,weighted choice,COMPLETE
59,59,37.6,2023-12-06 11:20:23.559857,2023-12-06 11:20:24.047158,0 days 00:00:00.487301,0.6,0.33,4.0,20,random selection,COMPLETE
60,60,37.2,2023-12-06 11:20:24.047334,2023-12-06 11:20:24.504631,0 days 00:00:00.457297,0.8,0.33,1.0,20,roulette wheel,COMPLETE
61,61,38.0,2023-12-06 11:20:24.504813,2023-12-06 11:20:38.577569,0 days 00:00:14.072756,0.0,0.0,,20,weighted choice,COMPLETE
62,62,43.6,2023-12-06 11:20:38.577735,2023-12-06 11:20:38.867097,0 days 00:00:00.289362,0.6,0.0,4.0,100,roulette wheel,COMPLETE
63,63,36.8,2023-12-06 11:20:38.867281,2023-12-06 11:20:39.312712,0 days 00:00:00.445431,0.8,0.0,4.0,20,random selection,COMPLETE
64,64,37.6,2023-12-06 11:20:39.312909,2023-12-06 11:20:39.659779,0 days 00:00:00.346870,0.95,0.1,2.0,20,roulette wheel,COMPLETE
65,65,43.2,2023-12-06 11:20:39.659958,2023-12-06 11:20:40.131193,0 days 00:00:00.471235,0.8,0.0,1.0,50,roulette wheel,COMPLETE
66,66,37.6,2023-12-06 11:20:40.131380,2023-12-06 11:20:40.608184,0 days 00:00:00.476804,0.6,0.33,2.0,50,random selection,COMPLETE
67,67,41.6,2023-12-06 11:20:40.608369,2023-12-06 11:20:41.057409,0 days 00:00:00.449040,0.6,0.01,4.0,50,weighted choice,COMPLETE
68,68,36.4,2023-12-06 11:20:41.057593,2023-12-06 11:20:41.509517,0 days 00:00:00.451924,0.8,0.33,1.0,20,roulette wheel,COMPLETE
69,69,36.8,2023-12-06 11:20:41.509713,2023-12-06 11:21:07.333365,0 days 00:00:25.823652,0.0,0.01,,100,weighted choice,COMPLETE
70,70,38.0,2023-12-06 11:21:07.333595,2023-12-06 11:21:07.823418,0 days 00:00:00.489823,0.6,0.33,4.0,100,roulette wheel,COMPLETE
71,71,37.2,2023-12-06 11:21:07.823595,2023-12-06 11:21:11.900710,0 days 00:00:04.077115,0.0,0.33,,10,weighted choice,COMPLETE
72,72,36.4,2023-12-06 11:21:11.900880,2023-12-06 11:21:12.293276,0 days 00:00:00.392396,0.95,0.01,2.0,10,random selection,COMPLETE
73,73,35.2,2023-12-06 11:21:12.293486,2023-12-06 11:21:12.682236,0 days 00:00:00.388750,0.95,0.01,2.0,10,random selection,COMPLETE
74,74,40.0,2023-12-06 11:21:12.682431,2023-12-06 11:21:13.048094,0 days 00:00:00.365663,0.8,0.01,1.0,20,roulette wheel,COMPLETE
75,75,37.6,2023-12-06 11:21:13.048282,2023-12-06 11:21:27.653003,0 days 00:00:14.604721,0.8,0.1,0.0,50,roulette wheel,COMPLETE
76,76,43.2,2023-12-06 11:21:27.653180,2023-12-06 11:21:27.971362,0 days 00:00:00.318182,0.6,0.0,4.0,100,roulette wheel,COMPLETE
77,77,38.8,2023-12-06 11:21:27.971541,2023-12-06 11:21:33.967862,0 days 00:00:05.996321,0.6,0.1,0.0,20,roulette wheel,COMPLETE
78,78,37.2,2023-12-06 11:21:33.968039,2023-12-06 11:21:38.973395,0 days 00:00:05.005356,0.0,0.01,,20,weighted choice,COMPLETE
79,79,37.2,2023-12-06 11:21:38.973575,2023-12-06 11:21:44.817853,0 days 00:00:05.844278,0.5,0.1,0.0,20,random selection,COMPLETE
80,80,38.0,2023-12-06 11:21:44.818036,2023-12-06 11:21:56.838757,0 days 00:00:12.020721,0.0,0.1,,50,random selection,COMPLETE
81,81,37.6,2023-12-06 11:21:56.838923,2023-12-06 11:21:57.296251,0 days 00:00:00.457328,0.95,0.33,1.0,100,roulette wheel,COMPLETE
82,82,39.2,2023-12-06 11:21:57.296429,2023-12-06 11:21:57.710819,0 days 00:00:00.414390,0.8,0.01,2.0,10,roulette wheel,COMPLETE
83,83,38.0,2023-12-06 11:21:57.710997,2023-12-06 11:22:26.957046,0 days 00:00:29.246049,0.8,0.01,0.0,100,weighted choice,COMPLETE
84,84,37.6,2023-12-06 11:22:26.957237,2023-12-06 11:22:38.901361,0 days 00:00:11.944124,0.0,0.1,,50,random selection,COMPLETE
85,85,39.2,2023-12-06 11:22:38.901547,2023-12-06 11:22:39.413778,0 days 00:00:00.512231,0.95,0.33,2.0,50,weighted choice,COMPLETE
86,86,37.2,2023-12-06 11:22:39.413961,2023-12-06 11:23:02.108226,0 days 00:00:22.694265,0.0,0.1,,100,roulette wheel,COMPLETE
87,87,37.2,2023-12-06 11:23:02.108400,2023-12-06 11:23:04.710569,0 days 00:00:02.602169,0.5,0.01,0.0,10,roulette wheel,COMPLETE
88,88,38.0,2023-12-06 11:23:04.710765,2023-12-06 11:23:05.357430,0 days 00:00:00.646665,0.5,0.5,1.0,50,weighted choice,COMPLETE
89,89,37.6,2023-12-06 11:23:05.357620,2023-12-06 11:23:19.642837,0 days 00:00:14.285217,0.6,0.1,0.0,50,roulette wheel,COMPLETE
90,90,38.4,2023-12-06 11:23:19.643014,2023-12-06 11:23:20.181059,0 days 00:00:00.538045,0.8,0.5,1.0,50,roulette wheel,COMPLETE
91,91,37.6,2023-12-06 11:23:20.181248,2023-12-06 11:23:20.534101,0 days 00:00:00.352853,0.6,0.1,2.0,100,random selection,COMPLETE
