,number,value,datetime_start,datetime_complete,duration,params_C,params_M,params_N,params_P,params_S,state
1,1,2.6651503291858303,2023-12-05 21:01:40.795104,2023-12-05 21:01:45.945448,0 days 00:00:05.150344,0.0,0.1,,20,roulette wheel,COMPLETE
2,2,2.902724565434025,2023-12-05 21:01:45.945637,2023-12-05 21:01:46.555819,0 days 00:00:00.610182,0.6,0.5,4.0,10,roulette wheel,COMPLETE
4,4,3.3810237870166864,2023-12-05 21:01:46.926897,2023-12-05 21:01:47.397275,0 days 00:00:00.470378,0.95,0.0,4.0,10,roulette wheel,COMPLETE
5,5,2.7608867439470623,2023-12-05 21:01:47.397453,2023-12-05 21:01:54.848676,0 days 00:00:07.451223,0.6,0.0,0.0,10,roulette wheel,COMPLETE
7,7,2.7879033210211324,2023-12-05 21:01:55.345482,2023-12-05 21:01:55.952384,0 days 00:00:00.606902,0.5,0.5,1.0,10,random selection,COMPLETE
8,8,2.7075631514570935,2023-12-05 21:01:55.952573,2023-12-05 21:01:56.322897,0 days 00:00:00.370324,0.6,0.1,4.0,10,roulette wheel,COMPLETE
9,9,2.8056253388723222,2023-12-05 21:01:56.323060,2023-12-05 21:02:11.230509,0 days 00:00:14.907449,0.95,0.1,0.0,50,random selection,COMPLETE
11,11,2.652722626178791,2023-12-05 21:02:11.773240,2023-12-05 21:02:17.664605,0 days 00:00:05.891365,0.6,0.1,0.0,20,random selection,COMPLETE
13,13,2.6292654565822966,2023-12-05 21:02:18.108544,2023-12-05 21:02:18.442076,0 days 00:00:00.333532,0.95,0.1,1.0,100,random selection,COMPLETE
15,15,2.8080831017722545,2023-12-05 21:02:23.011260,2023-12-05 21:02:23.472913,0 days 00:00:00.461653,0.95,0.33,2.0,50,random selection,COMPLETE
16,16,2.647931149586063,2023-12-05 21:02:23.473144,2023-12-05 21:02:23.917275,0 days 00:00:00.444131,0.6,0.01,1.0,10,random selection,COMPLETE
17,17,2.853893166818371,2023-12-05 21:02:23.917448,2023-12-05 21:02:49.936209,0 days 00:00:26.018761,0.95,0.1,0.0,100,random selection,COMPLETE
19,19,3.861037561816147,2023-12-05 21:03:58.446228,2023-12-05 21:03:59.052928,0 days 00:00:00.606700,0.5,0.0,2.0,100,roulette wheel,COMPLETE
20,20,2.8235120980366117,2023-12-05 21:03:59.053092,2023-12-05 21:03:59.388855,0 days 00:00:00.335763,0.95,0.01,4.0,20,random selection,COMPLETE
21,21,2.6300408288159054,2023-12-05 21:03:59.389041,2023-12-05 21:04:02.561045,0 days 00:00:03.172004,0.8,0.1,0.0,10,roulette wheel,COMPLETE
22,22,2.8606713323904467,2023-12-05 21:04:02.561208,2023-12-05 21:04:03.118443,0 days 00:00:00.557235,0.8,0.5,2.0,50,roulette wheel,COMPLETE
24,24,2.636611051872863,2023-12-05 21:04:33.892614,2023-12-05 21:04:42.374109,0 days 00:00:08.481495,0.95,0.33,0.0,20,random selection,COMPLETE
25,25,2.723458614347999,2023-12-05 21:04:42.374288,2023-12-05 21:04:42.729054,0 days 00:00:00.354766,0.95,0.1,4.0,10,roulette wheel,COMPLETE
26,26,2.394989073350316,2023-12-05 21:04:42.729226,2023-12-05 21:04:43.055863,0 days 00:00:00.326637,0.95,0.0,1.0,50,random selection,COMPLETE
27,27,2.8835495884979276,2023-12-05 21:04:43.056052,2023-12-05 21:05:06.131575,0 days 00:00:23.075523,0.6,0.5,0.0,50,roulette wheel,COMPLETE
28,28,2.7272900993691556,2023-12-05 21:05:06.131763,2023-12-05 21:05:06.586349,0 days 00:00:00.454586,0.95,0.33,2.0,50,roulette wheel,COMPLETE
29,29,3.0173869913486393,2023-12-05 21:05:06.586519,2023-12-05 21:05:06.932536,0 days 00:00:00.346017,0.8,0.01,4.0,50,roulette wheel,COMPLETE
30,30,2.7701556802147023,2023-12-05 21:05:06.932706,2023-12-05 21:06:10.460816,0 days 00:01:03.528110,0.6,0.0,0.0,100,roulette wheel,COMPLETE
32,32,2.608115588212224,2023-12-05 21:06:10.925798,2023-12-05 21:06:11.102435,0 days 00:00:00.176637,0.95,0.0,2.0,100,random selection,COMPLETE
35,35,2.6922113394784235,2023-12-05 21:06:46.244108,2023-12-05 21:06:46.759510,0 days 00:00:00.515402,0.6,0.33,2.0,10,roulette wheel,COMPLETE
36,36,2.758395491069771,2023-12-05 21:06:46.759758,2023-12-05 21:06:47.106055,0 days 00:00:00.346297,0.95,0.1,1.0,20,roulette wheel,COMPLETE
37,37,2.610970839408858,2023-12-05 21:06:47.106219,2023-12-05 21:06:57.578898,0 days 00:00:10.472679,0.95,0.5,0.0,20,random selection,COMPLETE
38,38,2.7103393119709964,2023-12-05 21:06:57.579079,2023-12-05 21:07:21.470746,0 days 00:00:23.891667,0.95,0.01,0.0,100,roulette wheel,COMPLETE
39,39,2.692843440076772,2023-12-05 21:07:21.470925,2023-12-05 21:07:39.310398,0 days 00:00:17.839473,0.0,0.33,,50,roulette wheel,COMPLETE
41,41,2.8029735576667933,2023-12-05 21:07:39.799342,2023-12-05 21:07:40.351132,0 days 00:00:00.551790,0.8,0.5,1.0,50,roulette wheel,COMPLETE
42,42,2.97099393786012,2023-12-05 21:07:40.351309,2023-12-05 21:08:01.323685,0 days 00:00:20.972376,0.0,0.5,,50,random selection,COMPLETE
43,43,3.262779443752579,2023-12-05 21:08:01.323906,2023-12-05 21:08:01.807921,0 days 00:00:00.484015,0.95,0.0,4.0,10,roulette wheel,COMPLETE
45,45,2.8370616089230096,2023-12-05 21:08:09.819080,2023-12-05 21:08:22.280675,0 days 00:00:12.461595,0.0,0.1,,50,roulette wheel,COMPLETE
46,46,3.595121588604415,2023-12-05 21:08:22.280841,2023-12-05 21:08:22.756037,0 days 00:00:00.475196,0.95,0.0,4.0,20,roulette wheel,COMPLETE
47,47,2.650792592498504,2023-12-05 21:08:22.756211,2023-12-05 21:08:23.300089,0 days 00:00:00.543878,0.8,0.5,1.0,50,random selection,COMPLETE
