,number,value,datetime_start,datetime_complete,duration,params_C,params_M,params_N,params_P,params_S,state
48,48,3.5756345292085356,2023-12-05 21:08:23.300295,2023-12-05 21:08:23.821935,0 days 00:00:00.521640,0.8,0.0,4.0,10,roulette wheel,COMPLETE
50,50,2.816449423843585,2023-12-05 21:09:15.807917,2023-12-05 21:09:16.242580,0 days 00:00:00.434663,0.5,0.01,1.0,20,random selection,COMPLETE
51,51,2.696928128185715,2023-12-05 21:09:16.242786,2023-12-05 21:09:38.497011,0 days 00:00:22.254225,0.5,0.01,0.0,100,roulette wheel,COMPLETE
52,52,2.877814940455256,2023-12-05 21:09:38.497189,2023-12-05 21:09:58.016227,0 days 00:00:19.519038,0.0,0.01,,100,roulette wheel,COMPLETE
53,53,2.7004406745892933,2023-12-05 21:09:58.016407,2023-12-05 21:10:08.422384,0 days 00:00:10.405977,0.0,0.01,,50,roulette wheel,COMPLETE
54,54,2.7761620737848407,2023-12-05 21:10:08.422551,2023-12-05 21:10:08.888040,0 days 00:00:00.465489,0.6,0.01,2.0,10,random selection,COMPLETE
57,57,2.7291245458986833,2023-12-05 21:10:20.137445,2023-12-05 21:10:20.721286,0 days 00:00:00.583841,0.6,0.5,1.0,100,roulette wheel,COMPLETE
58,58,2.6186100681209608,2023-12-05 21:10:20.721455,2023-12-05 21:10:21.297515,0 days 00:00:00.576060,0.6,0.5,1.0,20,random selection,COMPLETE
60,60,2.6266232918168084,2023-12-05 21:10:21.698648,2023-12-05 21:10:22.276436,0 days 00:00:00.577788,0.6,0.5,2.0,20,random selection,COMPLETE
61,61,2.726005536664954,2023-12-05 21:10:22.276628,2023-12-05 21:10:22.766400,0 days 00:00:00.489772,0.6,0.33,2.0,100,roulette wheel,COMPLETE
62,62,2.7643081990296663,2023-12-05 21:10:22.766575,2023-12-05 21:10:23.323828,0 days 00:00:00.557253,0.6,0.0,4.0,10,random selection,COMPLETE
63,63,2.998263137924289,2023-12-05 21:10:23.323999,2023-12-05 21:10:23.648938,0 days 00:00:00.324939,0.95,0.01,4.0,50,roulette wheel,COMPLETE
64,64,3.2836872474836403,2023-12-05 21:10:23.649123,2023-12-05 21:10:24.066201,0 days 00:00:00.417078,0.6,0.01,4.0,20,roulette wheel,COMPLETE
65,65,2.649534335192143,2023-12-05 21:10:24.066379,2023-12-05 21:10:29.237259,0 days 00:00:05.170880,0.0,0.1,,20,random selection,COMPLETE
66,66,3.823130197758106,2023-12-05 21:10:29.237434,2023-12-05 21:10:29.816037,0 days 00:00:00.578603,0.6,0.0,4.0,50,roulette wheel,COMPLETE
67,67,2.8081103585752993,2023-12-05 21:10:29.816208,2023-12-05 21:10:37.323015,0 days 00:00:07.506807,0.0,0.33,,20,roulette wheel,COMPLETE
68,68,2.79307704556874,2023-12-05 21:10:37.323187,2023-12-05 21:10:43.169793,0 days 00:00:05.846606,0.0,0.0,,10,random selection,COMPLETE
69,69,2.721950915158476,2023-12-05 21:10:43.169965,2023-12-05 21:10:50.689091,0 days 00:00:07.519126,0.0,0.33,,20,roulette wheel,COMPLETE
70,70,3.662452099930333,2023-12-05 21:10:50.689264,2023-12-05 21:10:51.253174,0 days 00:00:00.563910,0.6,0.0,4.0,20,roulette wheel,COMPLETE
71,71,2.630575301102228,2023-12-05 21:10:51.253345,2023-12-05 21:10:51.590900,0 days 00:00:00.337555,0.95,0.01,2.0,20,random selection,COMPLETE
72,72,2.6822405327191383,2023-12-05 21:10:51.591081,2023-12-05 21:10:57.620727,0 days 00:00:06.029646,0.6,0.1,0.0,20,roulette wheel,COMPLETE
74,74,2.6650639646794714,2023-12-05 21:11:04.374413,2023-12-05 21:11:04.716236,0 days 00:00:00.341823,0.95,0.1,1.0,50,roulette wheel,COMPLETE
75,75,3.182930193150683,2023-12-05 21:11:04.716418,2023-12-05 21:11:05.133745,0 days 00:00:00.417327,0.5,0.01,2.0,50,roulette wheel,COMPLETE
76,76,2.8360869008543563,2023-12-05 21:11:05.133919,2023-12-05 21:11:24.648007,0 days 00:00:19.514088,0.0,0.01,,100,roulette wheel,COMPLETE
77,77,2.6040829039115483,2023-12-05 21:11:24.648180,2023-12-05 21:11:39.540952,0 days 00:00:14.892772,0.8,0.1,0.0,50,roulette wheel,COMPLETE
78,78,2.8384043554550233,2023-12-05 21:11:39.541136,2023-12-05 21:11:42.220125,0 days 00:00:02.678989,0.0,0.1,,10,random selection,COMPLETE
79,79,2.8090393164983984,2023-12-05 21:11:42.220300,2023-12-05 21:11:42.810587,0 days 00:00:00.590287,0.6,0.5,4.0,50,roulette wheel,COMPLETE
80,80,2.8408416726111576,2023-12-05 21:11:42.810758,2023-12-05 21:11:43.170998,0 days 00:00:00.360240,0.95,0.1,4.0,100,roulette wheel,COMPLETE
81,81,2.562442522550785,2023-12-05 21:11:43.171194,2023-12-05 21:11:43.511955,0 days 00:00:00.340761,0.95,0.1,2.0,100,random selection,COMPLETE
83,83,2.767759802609107,2023-12-05 21:11:43.871741,2023-12-05 21:11:44.216683,0 days 00:00:00.344942,0.8,0.1,2.0,20,roulette wheel,COMPLETE
84,84,2.7311296385810073,2023-12-05 21:11:44.216855,2023-12-05 21:12:03.462243,0 days 00:00:19.245388,0.5,0.33,0.0,50,roulette wheel,COMPLETE
85,85,2.611289200280158,2023-12-05 21:12:03.462438,2023-12-05 21:12:15.863941,0 days 00:00:12.401503,0.0,0.1,,50,roulette wheel,COMPLETE
86,86,2.8779935459298964,2023-12-05 21:12:15.864113,2023-12-05 21:12:16.184285,0 days 00:00:00.320172,0.8,0.01,1.0,100,roulette wheel,COMPLETE
87,87,3.237366657180111,2023-12-05 21:12:16.184463,2023-12-05 21:12:16.564687,0 days 00:00:00.380224,0.8,0.01,2.0,20,roulette wheel,COMPLETE
89,89,2.7488666416754044,2023-12-05 21:12:44.162761,2023-12-05 21:13:05.985410,0 days 00:00:21.822649,0.0,0.5,,50,roulette wheel,COMPLETE
92,92,3.439855758698782,2023-12-05 21:13:12.491718,2023-12-05 21:13:12.848800,0 days 00:00:00.357082,0.95,0.01,4.0,20,roulette wheel,COMPLETE
93,93,3.9517407151891897,2023-12-05 21:13:12.848972,2023-12-05 21:13:13.261780,0 days 00:00:00.412808,0.95,0.0,2.0,50,roulette wheel,COMPLETE
94,94,2.6419575498787387,2023-12-05 21:13:13.261960,2023-12-05 21:13:25.771702,0 days 00:00:12.509742,0.0,0.1,,50,roulette wheel,COMPLETE
95,95,3.315902723051316,2023-12-05 21:13:25.771880,2023-12-05 21:13:26.446592,0 days 00:00:00.674712,0.5,0.0,2.0,10,roulette wheel,COMPLETE
96,96,2.688331511616571,2023-12-05 21:13:26.446767,2023-12-05 21:13:27.021303,0 days 00:00:00.574536,0.6,0.5,1.0,20,random selection,COMPLETE
98,98,2.769004043636443,2023-12-05 21:13:27.435485,2023-12-05 21:13:51.350162,0 days 00:00:23.914677,0.95,0.01,0.0,100,roulette wheel,COMPLETE
99,99,2.732016106157508,2023-12-05 21:13:51.350353,2023-12-05 21:13:51.814595,0 days 00:00:00.464242,0.95,0.0,1.0,20,random selection,COMPLETE
102,102,2.863632911934592,2023-12-05 21:14:25.871779,2023-12-05 21:14:26.358527,0 days 00:00:00.486748,0.8,0.0,4.0,10,random selection,COMPLETE
103,103,2.84095547139626,2023-12-05 21:14:26.358707,2023-12-05 21:14:28.611811,0 days 00:00:02.253104,0.0,0.01,,10,roulette wheel,COMPLETE
104,104,3.3909500949186784,2023-12-05 21:14:28.611995,2023-12-05 21:14:28.957910,0 days 00:00:00.345915,0.8,0.01,1.0,50,roulette wheel,COMPLETE
106,106,2.8286871805047364,2023-12-05 21:14:29.608947,2023-12-05 21:14:39.822530,0 days 00:00:10.213583,0.8,0.5,0.0,20,roulette wheel,COMPLETE
107,107,2.566699985717858,2023-12-05 21:14:39.822727,2023-12-05 21:14:40.182583,0 days 00:00:00.359856,0.6,0.1,1.0,100,roulette wheel,COMPLETE
108,108,3.2890101755997714,2023-12-05 21:14:40.182764,2023-12-05 21:14:40.586579,0 days 00:00:00.403815,0.95,0.01,4.0,10,roulette wheel,COMPLETE
110,110,2.654556577781088,2023-12-05 21:14:40.957450,2023-12-05 21:14:41.428429,0 days 00:00:00.470979,0.8,0.33,2.0,10,roulette wheel,COMPLETE
112,112,2.6539664713823212,2023-12-05 21:15:21.974272,2023-12-05 21:15:30.008629,0 days 00:00:08.034357,0.5,0.33,0.0,20,random selection,COMPLETE
113,113,2.722552254930708,2023-12-05 21:15:30.008824,2023-12-05 21:15:40.301030,0 days 00:00:10.292206,0.95,0.5,0.0,20,random selection,COMPLETE
114,114,2.529231225296859,2023-12-05 21:15:40.301223,2023-12-05 21:15:40.773250,0 days 00:00:00.472027,0.5,0.01,2.0,10,random selection,COMPLETE
115,115,2.6672822764694697,2023-12-05 21:15:40.773439,2023-12-05 21:15:54.916075,0 days 00:00:14.142636,0.6,0.1,0.0,50,roulette wheel,COMPLETE
116,116,2.6815666794243413,2023-12-05 21:15:54.916257,2023-12-05 21:15:55.446079,0 days 00:00:00.529822,0.5,0.33,4.0,10,random selection,COMPLETE
117,117,2.7088444466418733,2023-12-05 21:15:55.446290,2023-12-05 21:16:19.348025,0 days 00:00:23.901735,0.8,0.01,0.0,100,roulette wheel,COMPLETE
118,118,2.824945128862222,2023-12-05 21:16:19.348210,2023-12-05 21:16:19.825750,0 days 00:00:00.477540,0.6,0.33,1.0,50,roulette wheel,COMPLETE
120,120,2.915167510412741,2023-12-05 21:16:20.183078,2023-12-05 21:16:20.650179,0 days 00:00:00.467101,0.8,0.33,2.0,20,roulette wheel,COMPLETE
121,121,2.810883870606358,2023-12-05 21:16:20.650359,2023-12-05 21:16:21.108799,0 days 00:00:00.458440,0.95,0.33,2.0,20,random selection,COMPLETE
122,122,2.785621180494153,2023-12-05 21:16:21.108988,2023-12-05 21:16:48.621064,0 days 00:00:27.512076,0.0,0.0,,50,random selection,COMPLETE
123,123,2.859346398255469,2023-12-05 21:16:48.621244,2023-12-05 21:16:49.098142,0 days 00:00:00.476898,0.95,0.33,4.0,50,roulette wheel,COMPLETE
124,124,2.816697373279844,2023-12-05 21:16:49.098331,2023-12-05 21:16:49.574947,0 days 00:00:00.476616,0.8,0.33,4.0,20,random selection,COMPLETE
125,125,2.7060300706687355,2023-12-05 21:16:49.575137,2023-12-05 21:16:57.816491,0 days 00:00:08.241354,0.6,0.33,0.0,20,roulette wheel,COMPLETE
126,126,2.7233150930250845,2023-12-05 21:16:57.816672,2023-12-05 21:17:12.256197,0 days 00:00:14.439525,0.8,0.1,0.0,50,random selection,COMPLETE
127,127,2.789382315598347,2023-12-05 21:17:12.256418,2023-12-05 21:18:05.942201,0 days 00:00:53.685783,0.0,0.0,,100,random selection,COMPLETE
129,129,2.6234739440258834,2023-12-05 21:18:06.435552,2023-12-05 21:18:21.312341,0 days 00:00:14.876789,0.8,0.1,0.0,50,roulette wheel,COMPLETE
131,131,2.8190498304763527,2023-12-05 21:18:21.832678,2023-12-05 21:18:55.002760,0 days 00:00:33.170082,0.0,0.33,,100,roulette wheel,COMPLETE
132,132,2.986554745169133,2023-12-05 21:18:55.002953,2023-12-05 21:18:55.584593,0 days 00:00:00.581640,0.6,0.5,2.0,100,random selection,COMPLETE
133,133,2.7799619080191595,2023-12-05 21:18:55.584809,2023-12-05 21:18:56.132530,0 days 00:00:00.547721,0.95,0.5,2.0,20,roulette wheel,COMPLETE
134,134,3.050834745705913,2023-12-05 21:18:56.132715,2023-12-05 21:18:56.548130,0 days 00:00:00.415415,0.5,0.01,4.0,50,roulette wheel,COMPLETE
135,135,3.563470678852223,2023-12-05 21:18:56.548332,2023-12-05 21:18:57.022933,0 days 00:00:00.474601,0.6,0.01,1.0,10,roulette wheel,COMPLETE
136,136,2.6612781832702317,2023-12-05 21:18:57.023108,2023-12-05 21:18:57.641822,0 days 00:00:00.618714,0.5,0.5,4.0,50,roulette wheel,COMPLETE
139,139,2.618696432627319,2023-12-05 21:20:07.685240,2023-12-05 21:20:35.994498,0 days 00:00:28.309258,0.0,0.0,,50,roulette wheel,COMPLETE
141,141,2.704567356897818,2023-12-05 21:21:01.530405,2023-12-05 21:21:02.061326,0 days 00:00:00.530921,0.95,0.5,1.0,20,random selection,COMPLETE
143,143,2.6979292066731944,2023-12-05 21:21:26.078136,2023-12-05 21:21:26.654416,0 days 00:00:00.576280,0.6,0.5,2.0,20,random selection,COMPLETE
144,144,2.9082226712972803,2023-12-05 21:21:26.654615,2023-12-05 21:21:27.019912,0 days 00:00:00.365297,0.5,0.1,2.0,100,random selection,COMPLETE
145,145,3.732434354430084,2023-12-05 21:21:27.020105,2023-12-05 21:21:27.566971,0 days 00:00:00.546866,0.6,0.0,2.0,50,roulette wheel,COMPLETE
146,146,2.7604416610355167,2023-12-05 21:21:27.567156,2023-12-05 21:21:28.084732,0 days 00:00:00.517576,0.5,0.33,2.0,10,roulette wheel,COMPLETE
147,147,2.830741121626101,2023-12-05 21:21:28.084924,2023-12-05 21:21:32.333392,0 days 00:00:04.248468,0.0,0.01,,20,random selection,COMPLETE
148,148,2.701246129584491,2023-12-05 21:21:32.333584,2023-12-05 21:21:32.690668,0 days 00:00:00.357084,0.8,0.1,4.0,100,random selection,COMPLETE
150,150,2.665206571669637,2023-12-05 21:21:46.246330,2023-12-05 21:21:46.591802,0 days 00:00:00.345472,0.8,0.1,2.0,50,random selection,COMPLETE
151,151,2.6857246616773303,2023-12-05 21:21:46.591998,2023-12-05 21:21:47.054959,0 days 00:00:00.462961,0.95,0.33,2.0,50,roulette wheel,COMPLETE
152,152,2.748070672998952,2023-12-05 21:21:47.055144,2023-12-05 21:21:47.418449,0 days 00:00:00.363305,0.8,0.1,4.0,10,roulette wheel,COMPLETE
153,153,2.9183152749856967,2023-12-05 21:21:47.418635,2023-12-05 21:22:21.690376,0 days 00:00:34.271741,0.6,0.33,0.0,100,random selection,COMPLETE
154,154,2.605179326852445,2023-12-05 21:22:21.690677,2023-12-05 21:22:22.303245,0 days 00:00:00.612568,0.5,0.5,2.0,10,roulette wheel,COMPLETE
155,155,2.710520918925888,2023-12-05 21:22:22.303437,2023-12-05 21:22:28.259661,0 days 00:00:05.956224,0.0,0.0,,10,roulette wheel,COMPLETE
156,156,2.743327750204404,2023-12-05 21:22:28.259841,2023-12-05 21:22:28.716400,0 days 00:00:00.456559,0.6,0.01,1.0,10,random selection,COMPLETE
158,158,2.756139469724745,2023-12-05 21:22:34.300815,2023-12-05 21:22:46.964271,0 days 00:00:12.663456,0.8,0.01,0.0,50,roulette wheel,COMPLETE
159,159,3.48909220841542,2023-12-05 21:22:46.964460,2023-12-05 21:22:47.340238,0 days 00:00:00.375778,0.95,0.01,1.0,20,roulette wheel,COMPLETE
161,161,2.758135955061521,2023-12-05 21:23:30.481330,2023-12-05 21:23:42.279593,0 days 00:00:11.798263,0.6,0.01,0.0,50,random selection,COMPLETE
162,162,3.3106843155402736,2023-12-05 21:23:42.279788,2023-12-05 21:23:42.795568,0 days 00:00:00.515780,0.95,0.0,2.0,10,roulette wheel,COMPLETE
163,163,3.7659496051358663,2023-12-05 21:23:42.795761,2023-12-05 21:23:43.277963,0 days 00:00:00.482202,0.8,0.0,4.0,20,roulette wheel,COMPLETE
164,164,2.7695265152029305,2023-12-05 21:23:43.278145,2023-12-05 21:23:50.714340,0 days 00:00:07.436195,0.0,0.33,,20,random selection,COMPLETE
165,165,2.830859056586589,2023-12-05 21:23:50.714533,2023-12-05 21:24:12.455743,0 days 00:00:21.741210,0.0,0.5,,50,roulette wheel,COMPLETE
170,170,2.8197053074653966,2023-12-05 21:24:17.257408,2023-12-05 21:24:34.577479,0 days 00:00:17.320071,0.0,0.33,,50,random selection,COMPLETE
171,171,2.696392586960791,2023-12-05 21:24:34.577667,2023-12-05 21:24:42.131882,0 days 00:00:07.554215,0.6,0.0,0.0,10,roulette wheel,COMPLETE
172,172,2.64920692676647,2023-12-05 21:24:42.132077,2023-12-05 21:24:52.551063,0 days 00:00:10.418986,0.0,0.01,,50,roulette wheel,COMPLETE
173,173,3.004637234991197,2023-12-05 21:24:52.551261,2023-12-05 21:24:53.038528,0 days 00:00:00.487267,0.6,0.33,1.0,50,random selection,COMPLETE
174,174,2.6089824134481328,2023-12-05 21:24:53.038723,2023-12-05 21:25:01.559429,0 days 00:00:08.520706,0.8,0.33,0.0,20,roulette wheel,COMPLETE
175,175,2.7676612971044294,2023-12-05 21:25:01.559618,2023-12-05 21:25:01.932950,0 days 00:00:00.373332,0.6,0.1,4.0,20,roulette wheel,COMPLETE
177,177,2.759692878692094,2023-12-05 21:25:02.399531,2023-12-05 21:25:02.780145,0 days 00:00:00.380614,0.5,0.1,4.0,20,random selection,COMPLETE
179,179,3.074810754294212,2023-12-05 21:25:03.182754,2023-12-05 21:25:03.626774,0 days 00:00:00.444020,0.5,0.01,4.0,20,roulette wheel,COMPLETE
180,180,2.7766064221804507,2023-12-05 21:25:03.627003,2023-12-05 21:25:57.923980,0 days 00:00:54.296977,0.0,0.0,,100,random selection,COMPLETE
182,182,2.7159167949451812,2023-12-05 21:26:40.128000,2023-12-05 21:26:40.746147,0 days 00:00:00.618147,0.5,0.5,4.0,100,roulette wheel,COMPLETE
183,183,2.7863168597213104,2023-12-05 21:26:40.746343,2023-12-05 21:26:41.281836,0 days 00:00:00.535493,0.95,0.5,1.0,20,random selection,COMPLETE
184,184,2.6457371362714515,2023-12-05 21:26:41.282036,2023-12-05 21:26:41.841421,0 days 00:00:00.559385,0.8,0.5,4.0,100,roulette wheel,COMPLETE
185,185,2.7884243067322076,2023-12-05 21:26:41.841610,2023-12-05 21:26:42.388163,0 days 00:00:00.546553,0.95,0.5,2.0,10,roulette wheel,COMPLETE
186,186,3.3088019370042474,2023-12-05 21:26:42.388354,2023-12-05 21:26:43.028558,0 days 00:00:00.640204,0.5,0.0,4.0,10,roulette wheel,COMPLETE
187,187,2.646472853411141,2023-12-05 21:26:43.028751,2023-12-05 21:27:04.839108,0 days 00:00:21.810357,0.0,0.5,,50,roulette wheel,COMPLETE
188,188,2.832050966146032,2023-12-05 21:27:04.839345,2023-12-05 21:27:24.549838,0 days 00:00:19.710493,0.0,0.01,,100,roulette wheel,COMPLETE
189,189,2.6834313614205527,2023-12-05 21:27:24.550035,2023-12-05 21:27:25.052732,0 days 00:00:00.502697,0.5,0.33,1.0,20,roulette wheel,COMPLETE
190,190,2.7626746594442713,2023-12-05 21:27:25.052919,2023-12-05 21:27:46.213367,0 days 00:00:21.160448,0.0,0.1,,100,random selection,COMPLETE
191,191,2.7299756577509453,2023-12-05 21:27:46.213582,2023-12-05 21:28:04.392886,0 days 00:00:18.179304,0.0,0.01,,100,random selection,COMPLETE
193,193,2.6193501714320826,2023-12-05 21:28:25.566426,2023-12-05 21:28:31.386621,0 days 00:00:05.820195,0.0,0.0,,10,random selection,COMPLETE
194,194,2.7614857799528334,2023-12-05 21:28:31.386810,2023-12-05 21:28:31.993155,0 days 00:00:00.606345,0.5,0.5,2.0,50,roulette wheel,COMPLETE
195,195,2.686602909860963,2023-12-05 21:28:31.993343,2023-12-05 21:28:32.329015,0 days 00:00:00.335672,0.8,0.01,4.0,100,roulette wheel,COMPLETE
196,196,2.583397130135115,2023-12-05 21:28:32.329201,2023-12-05 21:28:32.499186,0 days 00:00:00.169985,0.95,0.0,1.0,100,random selection,COMPLETE
197,197,2.7876432238898357,2023-12-05 21:28:32.499377,2023-12-05 21:28:33.071977,0 days 00:00:00.572600,0.95,0.5,4.0,10,roulette wheel,COMPLETE
199,199,2.742080246120924,2023-12-05 21:28:33.526271,2023-12-05 21:28:48.420289,0 days 00:00:14.894018,0.8,0.1,0.0,50,roulette wheel,COMPLETE
200,200,2.621911737951053,2023-12-05 21:28:48.420499,2023-12-05 21:28:48.798013,0 days 00:00:00.377514,0.5,0.1,2.0,20,roulette wheel,COMPLETE
201,201,2.837041311725622,2023-12-05 21:28:48.798203,2023-12-05 21:28:53.439716,0 days 00:00:04.641513,0.0,0.5,,10,random selection,COMPLETE
202,202,2.795480784283607,2023-12-05 21:28:53.439958,2023-12-05 21:28:53.830550,0 days 00:00:00.390592,0.5,0.1,2.0,10,roulette wheel,COMPLETE
203,203,2.6919832912694948,2023-12-05 21:28:53.830751,2023-12-05 21:28:54.381299,0 days 00:00:00.550548,0.8,0.5,1.0,10,roulette wheel,COMPLETE
204,204,2.6068691693002704,2023-12-05 21:28:54.381491,2023-12-05 21:28:56.648149,0 days 00:00:02.266658,0.0,0.01,,10,roulette wheel,COMPLETE
205,205,2.709755058645986,2023-12-05 21:28:56.648345,2023-12-05 21:29:52.474594,0 days 00:00:55.826249,0.0,0.0,,100,roulette wheel,COMPLETE
206,206,2.724610250926258,2023-12-05 21:29:52.474791,2023-12-05 21:30:54.451112,0 days 00:01:01.976321,0.5,0.0,0.0,100,roulette wheel,COMPLETE
207,207,2.8182180399209296,2023-12-05 21:30:54.451305,2023-12-05 21:30:54.786843,0 days 00:00:00.335538,0.95,0.1,2.0,50,random selection,COMPLETE
209,209,2.8806882683368347,2023-12-05 21:30:55.156615,2023-12-05 21:30:55.851518,0 days 00:00:00.694903,0.5,0.0,1.0,10,roulette wheel,COMPLETE
211,211,2.6306176145303692,2023-12-05 21:30:56.648749,2023-12-05 21:30:57.227444,0 days 00:00:00.578695,0.6,0.5,2.0,100,roulette wheel,COMPLETE
212,212,2.7900031523910274,2023-12-05 21:30:57.227636,2023-12-05 21:31:36.095665,0 days 00:00:38.868029,0.0,0.5,,100,random selection,COMPLETE
213,213,2.688672516708152,2023-12-05 21:31:36.095865,2023-12-05 21:31:43.393877,0 days 00:00:07.298012,0.5,0.0,0.0,10,roulette wheel,COMPLETE
214,214,2.7471450844744263,2023-12-05 21:31:43.394074,2023-12-05 21:32:03.622349,0 days 00:00:20.228275,0.95,0.33,0.0,50,random selection,COMPLETE
